Id,Label,class
Electric_light,Electric light,9
Integrated_circuit,Integrated circuit,9
Semiconductor_device,Semiconductor device,9
Rocket,Rocket,9
Satellite,Satellite,9
Space_exploration,Space exploration,9
Spaceflight,Spaceflight,9
Space_station,Space station,9
Transport,Transport,9
Aircraft,Aircraft,9
Bicycle,Bicycle,9
Car,Car,9
Rail_transport,Rail transport,9
Ship,Ship,9
Navigation,Navigation,9
Compass,Compass,9
Map,Map,9
Radar,Radar,9
Calendar,Calendar,9
Clock,Clock,9
Fortification,Fortification,9
Infrastructure,Infrastructure,9
Bridge,Bridge,9
Canal,Canal,9
Dam,Dam,9
Road,Road,9
Concrete,Concrete,9
Glass,Glass,9
Masonry,Masonry,9
Metallurgy,Metallurgy,9
Natural_rubber,Natural rubber,9
Paper,Paper,9
Plastic,Plastic,9
Textile,Textile,9
Wood,Wood,9
Camera,Camera,9
Laser,Laser,9
Lens,Lens,9
Microscope,Microscope,9
Telescope,Telescope,9
Mathematics,Mathematics,10
Algorithm,Algorithm,10
Mathematical_proof,Mathematical proof,10
Set_(mathematics),Set (mathematics),10
Function_(mathematics),Function (mathematics),10
Combinatorics,Combinatorics,10
Number,Number,10
Real_number,Real number,10
E_(mathematical_constant),E (mathematical constant),10
Pi,Pi,10
Fraction,Fraction,10
Integer,Integer,10
0,0,10
Natural_number,Natural number,10
Prime_number,Prime number,10
Complex_number,Complex number,10
Number_theory,Number theory,10
Algebra,Algebra,10
Equation,Equation,10
Variable_(mathematics),Variable (mathematics),10
Linear_algebra,Linear algebra,10
Abstract_algebra,Abstract algebra,10
Mathematical_analysis,Mathematical analysis,10
Calculus,Calculus,10
Infinity,Infinity,10
Limit_(mathematics),Limit (mathematics),10
Series_(mathematics),Series (mathematics),10
Arithmetic,Arithmetic,10
Exponentiation,Exponentiation,10
Logarithm,Logarithm,10
Nth_root,Nth root,10
Geometry,Geometry,10
Angle,Angle,10
Trigonometry,Trigonometry,10
Area,Area,10
Conic_section,Conic section,10
Circle,Circle,10
Line_(geometry),Line (geometry),10
Polygon,Polygon,10
Triangle,Triangle,10
Three-dimensional_space,Three-dimensional space,10
